ACCESSION_NUMBER	ASSET_CAT	INSTRUMENT_KIND	NET_REALIZED_GAIN_MON1	NET_UNREALIZED_AP_MON1	NET_REALIZED_GAIN_MON2	NET_UNREALIZED_AP_MON2	NET_REALIZED_GAIN_MON3	NET_UNREALIZED_AP_MON3
0000035402-25-001403	Commodity Contracts		0	0	0	0	0	0
0000035402-25-001403	Credit Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001403	Credit Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001403	Credit Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001403	Credit Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001403	Credit Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001403	Credit Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001403	Credit Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001403	Credit Contracts		0	0	0	0	0	0
0000035402-25-001403	Equity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001403	Equity Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001403	Equity Contracts	Option Category	0	0	1698521.9	-52302.18	0	-533921.98
0000035402-25-001403	Equity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001403	Equity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001403	Equity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001403	Equity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001403	Equity Contracts		0	0	1698521.9	-52302.18	0	-533921.98
0000035402-25-001403	Foreign Exchange Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001403	Foreign Exchange Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001403	Foreign Exchange Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001403	Foreign Exchange Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001403	Foreign Exchange Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001403	Foreign Exchange Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001403	Foreign Exchange Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001403	Foreign Exchange Contracts		0	0	0	0	0	0
0000035402-25-001403	Interest Rate Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001403	Interest Rate Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001403	Interest Rate Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001403	Interest Rate Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001403	Interest Rate Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001403	Interest Rate Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001403	Interest Rate Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001403	Interest Rate Contracts		0	0	0	0	0	0
0000035402-25-001403	Other Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001403	Other Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001403	Other Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001403	Other Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001403	Other Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001403	Other Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001403	Other Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001403	Other Contracts		0	0	0	0	0	0
0000035402-25-001416	Commodity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001416	Commodity Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001416	Commodity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001416	Commodity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001416	Commodity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001416	Commodity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001416	Commodity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001416	Commodity Contracts		0	0	0	0	0	0
0000035402-25-001416	Credit Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001416	Credit Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001416	Credit Contracts	Option Category	0	0	0	0	0	0
